,client-id,data-rate,data-volume,dst-addr,dst-port,interval-end,interval-start,jitter,pckt-lost,pckt-total,protocol,src-addr,src-port
125,m1,787000.0,192000.0,10.10.15.248,43134,1548782439.0,1548782437.0,75.767,554.0,578.0,udp,10.10.12.1,5204
126,m1,655000.0,160000.0,10.10.15.248,43134,1548782441.0,1548782439.0,139.5,4715.0,4735.0,udp,10.10.12.1,5204
127,m1,655000.0,160000.0,10.10.15.248,43134,1548782441.0,1548782439.0,139.5,4715.0,4735.0,udp,10.10.12.1,5204
128,m1,1740000.0,424000.0,10.10.15.248,55424,1548782447.0,1548782445.0,51.996,2.0,55.0,udp,10.10.12.1,5204
129,m1,1700000.0,416000.0,10.10.15.248,55424,1548782449.0,1548782447.0,41.494,0.0,52.0,udp,10.10.12.1,5204
130,m1,754000.0,184000.0,10.10.15.248,55424,1548782451.0,1548782449.0,59.211,483.0,506.0,udp,10.10.12.1,5204
131,m1,295000.0,72000.0,10.10.15.248,55424,1548782453.0,1548782451.0,105.69,1059.0,1068.0,udp,10.10.12.1,5204
132,m1,229000.0,56000.0,10.10.15.248,55424,1548782455.0,1548782453.0,95.872,755.0,762.0,udp,10.10.12.1,5204
133,m1,16500000.0,3940000.0,10.10.15.248,55424,1548782457.0,1548782455.0,1.43,5974.0,6478.0,udp,10.10.12.1,5204
134,m1,18300000.0,4350000.0,10.10.15.248,55424,1548782459.0,1548782457.0,2.343,924.0,1481.0,udp,10.10.12.1,5204
135,m1,49300000.0,11800000.0,10.10.15.248,55424,1548782461.0,1548782459.0,0.751,54.0,1560.0,udp,10.10.12.1,5204
136,m1,47800000.0,11400000.0,10.10.15.248,55424,1548782463.0,1548782461.0,0.519,0.0,1460.0,udp,10.10.12.1,5204
137,m1,47900000.0,11400000.0,10.10.15.248,55424,1548782465.0,1548782463.0,0.342,0.0,1462.0,udp,10.10.12.1,5204
138,m1,47800000.0,11400000.0,10.10.15.248,55424,1548782467.0,1548782465.0,1.03,1.0,1461.0,udp,10.10.12.1,5204
139,m1,46600000.0,11100000.0,10.10.15.248,55424,1548782469.0,1548782467.0,1.819,26.0,1449.0,udp,10.10.12.1,5204
140,m1,45400000.0,10800000.0,10.10.15.248,55424,1548782471.0,1548782469.0,1.873,5.0,1389.0,udp,10.10.12.1,5204
