senderId,receiverId,systime,receiverDist,receiverX,receiverY,receiverAlt,receiverSpeed,channelFreq,channelBw,channelUtil,isInLap,isIperfOn,rssiMean,dataRateMean,nBytesReceived
ap1,w2,1548779122,27.133817330479406,26.57229243998477,-5.4916322506463615,121.9,1.389,2437,20,82.32761554307285,0.0,1.0,-52.109091,62.316134,1818401
ap1,w2,1548779123,28.920045500934574,28.488842503769465,-4.975502109474827,119.9,1.595,2437,20,83.03231939163499,0.0,1.0,-54.816667,57.480999,2132975
ap1,w2,1548779124,28.920045500934574,30.77782000282282,-4.0493219616405245,118.6,1.9035000000000002,2437,20,81.22907835610457,0.0,1.0,-56.826923,44.948588,973156
ap1,w2,1548779125,33.21395021456524,33.06679750187618,-3.123141813806221,117.3,2.212,2437,20,79.42583732057416,0.0,1.0,-52.57575799999999,51.433037,1409701
ap1,w2,1548779126,35.68129943083774,35.584507437188456,-2.626512182634461,117.8,2.212,2437,20,79.07362794633468,0.0,1.0,-57.18248199999999,54.746871,1235574
ap1,w2,1548779127,38.59535707626231,38.517918321141636,-2.4438120783947586,117.8,2.264,2437,20,78.72141857209519,0.0,1.0,-60.10169499999999,40.19028,681172
ap1,w2,1548779128,42.14527615969471,42.066469174126475,-2.57629685332626,118.7,2.727,2437,20,78.59367736608571,0.0,1.0,-53.967391000000006,45.964286,1061456
ap1,w2,1548779129,46.62672393046156,46.516138550719404,-3.2095958816702064,120.8,3.498,2437,20,78.46593616007624,0.0,1.0,-55.824324,42.920133,959333
ap1,w2,1548779130,51.161896720762826,51.02020855722202,-3.8052334776492,122.3,3.653,2437,20,80.15070464684743,0.0,1.0,-58.883117000000006,36.95578,530621
ap1,w2,1548779131,51.161896720762826,55.48238962625605,-4.17833348204295,122.19999999999999,3.7555,2437,20,81.83547313361862,0.0,1.0,-60.950495,41.833551,655278
ap1,w2,1548779132,60.11708674800352,59.94457069529008,-4.5514334864367,122.1,3.858,2437,20,81.18955344806825,0.0,1.0,-59.192308,45.732985,1149898
ap1,w2,1548779133,64.47377100516317,64.27422768970357,-5.06898635580456,121.6,3.961,2437,20,80.54363376251789,0.0,1.0,-61.122581000000004,55.233288,951686
ap1,w2,1548779134,64.47377100516317,68.52232950650283,-5.715509088006425,122.5,4.0125,2437,20,40.27181688125894,0.0,1.0,-61.064815,48.935359000000005,811365
ap1,w2,1548779135,73.04796354362456,72.77043132330209,-6.362031820208291,123.4,4.064,2437,20,0.0,0.0,1.0,-60.138889,51.999479,1990174
