gpstime,lat,lon,speed,alt,ap1Dist,ap1DeltaX,ap1DeltaY,ap2Dist,ap2DeltaX,ap2DeltaY,ap3Dist,ap3DeltaX,ap3DeltaY,ap4Dist,ap4DeltaX,ap4DeltaY
1548782513,41.178567417,-8.595623032999999,5.093,112.7,21.90560987136209,-21.511634794567293,4.135814691743921,21.90560987136209,-21.511634794567293,4.135814691743921,32.55556994052618,32.553469987119186,0.36966807406814284,32.55556994052618,32.553469987119186,0.36966807406814284
1548782514,41.178572333000005,-8.595675067,4.887,113.3,26.263133332649886,-25.866468243654193,4.5472451029063965,26.263133332649886,-25.866468243654193,4.5472451029063965,28.209450577749102,28.19863248013144,0.7810984852308158,28.209450577749102,28.19863248013144,0.7810984852308158
1548782515,41.178572417,-8.595728917,4.681,113.8,30.712844567987855,-30.37328813349138,4.554275239230453,30.712844567987855,-30.37328813349138,4.554275239230453,23.70491948844789,23.691812520955352,0.7881286215548745,23.70491948844789,23.691812520955352,0.7881286215548745
1548782516,41.1785788,-8.595780983,4.373,112.6,35.10159675236268,-34.73079795409831,5.088481927459399,35.10159675236268,-34.73079795409831,5.088481927459399,19.379466401749212,19.334297431504307,1.3223353097841255,19.379466401749212,19.334297431504307,1.3223353097841255
1548782517,41.178596,-8.595835317,4.681,111.9,39.81691453848179,-39.2781140988696,6.527985826287654,39.81691453848179,-39.2781140988696,6.527985826287654,15.04268133249312,14.786967089003308,2.761839208613473,15.04268133249312,14.786967089003308,2.761839208613473
1548782518,41.178604967,-8.5958901,4.63,112.0,44.462817837200795,-43.86301110103162,7.278452621634673,44.462817837200795,-43.86301110103162,7.278452621634673,10.789737864474477,10.202062685023606,3.5123060039612217,10.789737864474477,10.202062685023606,3.5123060039612217
1548782519,41.178600067,-8.595947800000001,4.887,112.8,49.174106898110495,-48.69204687612153,6.868361489306623,49.174106898110495,-48.69204687612153,6.868361489306623,6.204290055034084,5.37303095461,3.10221487163276,6.204290055034084,5.37303095461,3.10221487163276
1548782520,41.178604383,-8.596005467000001,4.887,112.6,54.004448771856325,-53.51831400470989,7.229576455759772,54.004448771856325,-53.51831400470989,7.229576455759772,3.5063218930684172,0.5467602633542535,3.4634298380862703,3.5063218930684172,0.5467602633542535,3.4634298380862703
1548782521,41.17860845,-8.596061067,4.887,113.1,58.66210566547248,-58.17158923049698,7.569952075214294,58.66210566547248,-58.17158923049698,7.569952075214294,5.597538777858155,-4.1065183195682256,3.8038054575411566,5.597538777858155,-4.1065183195682256,3.8038054575411566
1548782522,41.178602783,-8.596122267,4.836,114.0,63.69008576783439,-63.29354879299661,7.09566914965447,63.69008576783439,-63.29354879299661,7.09566914965447,9.810733392661495,-9.228473204292207,3.3295225319808317,9.810733392661495,-9.228473204292207,3.3295225319808317
1548782523,41.178607667,-8.596182683,4.939,114.7,68.76066700732812,-68.34988364486178,7.5044211918868315,68.76066700732812,-68.34988364486178,7.5044211918868315,14.765862397145865,-14.284812087700372,3.738274574213623,14.765862397145865,-14.284812087700372,3.738274574213623
1548782525,41.178663433000004,-8.596254117,4.681,114.2,75.31834408399196,-74.32827906250677,12.171590692039292,75.31834408399196,-74.32827906250677,12.171590692039292,21.937446606556655,-20.263253537430934,8.405444074373271,21.937446606556655,-20.263253537430934,8.405444074373271
1548782525,41.178663433000004,-8.596254117,4.681,114.2,75.31834408399196,-74.32827906250677,12.171590692039292,75.31834408399196,-74.32827906250677,12.171590692039292,21.937446606556655,-20.263253537430934,8.405444074373271,21.937446606556655,-20.263253537430934,8.405444074373271
1548782526,41.178697333,-8.596275933,4.579,113.7,77.61906909356055,-76.15406410016297,15.008748417891839,77.61906909356055,-76.15406410016297,15.008748417891839,24.78555945212931,-22.08906655787339,11.242601800232249,24.78555945212931,-22.08906655787339,11.242601800232249
1548782527,41.178734633000005,-8.596262733,4.476,113.5,77.20833947307187,-75.04928766466115,18.130457139624056,77.20833947307187,-75.04928766466115,18.130457139624056,25.429830805348015,-20.98432091167453,14.364310521973348,25.429830805348015,-20.98432091167453,14.364310521973348
1548782528,41.178768583,-8.596233117,4.476,113.5,75.54027298025574,-72.57063076768185,20.971796373825633,75.54027298025574,-72.57063076768185,20.971796373825633,25.26848029220807,-18.505692038741852,17.20564975618464,25.26848029220807,-18.505692038741852,17.20564975618464
