,timestamp,freq,noise,cat,cbt,crt,ctt,ch-util,id,mac-addr
267,1548782189,5240,-102,42088,31759,0,1903,94.83505498167277,ap4,78:8a:20:58:25:74
268,1548782191,5240,-102,44088,33673,0,1836,95.7,ap4,78:8a:20:58:25:74
269,1548782193,5240,-102,46088,35500,0,1644,91.35,ap4,78:8a:20:58:25:74
270,1548782195,5240,-102,48088,37411,0,1628,95.55,ap4,78:8a:20:58:25:74
271,1548782198,5240,-102,25685,20279,0,1526,76.47190108467616,ap4,78:8a:20:58:25:74
272,1548782200,5240,-102,27685,22186,0,1411,95.35,ap4,78:8a:20:58:25:74
273,1548782202,5240,-102,29685,24092,0,1314,95.3,ap4,78:8a:20:58:25:74
274,1548782204,5240,-102,31685,25998,0,1219,95.3,ap4,78:8a:20:58:25:74
275,1548782206,5240,-102,33685,27826,0,1103,91.4,ap4,78:8a:20:58:25:74
276,1548782208,5240,-102,36685,30687,0,1955,95.36666666666666,ap4,78:8a:20:58:25:74
277,1548782210,5240,-102,38685,32600,0,1845,95.65,ap4,78:8a:20:58:25:74
278,1548782212,5240,-102,40685,33445,0,663,42.25,ap4,78:8a:20:58:25:74
279,1548782005,5240,-102,30428,23792,0,1124,95.35232383808095,ap4,78:8a:20:58:25:74
280,1548782007,5240,-102,33428,26378,0,1684,86.2,ap4,78:8a:20:58:25:74
281,1548782009,5240,-102,35428,28217,0,1779,91.95,ap4,78:8a:20:58:25:74
282,1548782011,5240,-102,37428,30128,0,1734,95.55,ap4,78:8a:20:58:25:74
283,1548782013,5240,-102,39428,31528,0,1129,70.0,ap4,78:8a:20:58:25:74
284,1548782016,5240,-102,41428,33344,0,1542,90.8,ap4,78:8a:20:58:25:74
285,1548782018,5240,-102,43428,35255,0,1446,95.55,ap4,78:8a:20:58:25:74
286,1548782020,5240,-102,45428,37117,0,1288,93.10000000000001,ap4,78:8a:20:58:25:74
287,1548782022,5240,-102,47428,39002,0,1239,94.25,ap4,78:8a:20:58:25:74
288,1548782024,5240,-102,48428,39687,0,90,68.5,ap4,78:8a:20:58:25:74
289,1548782026,5240,-102,28025,21963,0,1220,86.86957800323482,ap4,78:8a:20:58:25:74
290,1548782028,5240,-102,30025,23870,0,1839,95.35,ap4,78:8a:20:58:25:74
291,1548782030,5240,-102,32025,25780,0,1745,95.5,ap4,78:8a:20:58:25:74
292,1548782032,5240,-102,34025,27691,0,1640,95.55,ap4,78:8a:20:58:25:74
293,1548782035,5240,-102,36026,29598,0,1533,95.3023488255872,ap4,78:8a:20:58:25:74
294,1548782037,5240,-102,38026,31510,0,1433,95.6,ap4,78:8a:20:58:25:74
295,1548782039,5240,-102,40026,33308,0,1209,89.9,ap4,78:8a:20:58:25:74
296,1548782041,5240,-102,42026,35174,0,1218,93.30000000000001,ap4,78:8a:20:58:25:74
297,1548782043,5240,-102,44026,37087,0,1114,95.65,ap4,78:8a:20:58:25:74
