,client-id,data-rate,data-volume,dst-addr,dst-port,interval-end,interval-start,jitter,pckt-lost,pckt-total,protocol,src-addr,src-port
115,m1,49500000.0,11800000.0,10.10.15.248,47173,1548779781.0,1548779779.0,1.022,3.0,1514.0,udp,10.10.12.1,5204
116,m1,46900000.0,11200000.0,10.10.15.248,47173,1548779783.0,1548779781.0,1.737,1.0,1433.0,udp,10.10.12.1,5204
117,m1,49600000.0,11800000.0,10.10.15.248,47173,1548779785.0,1548779783.0,1.855,1.0,1516.0,udp,10.10.12.1,5204
118,m1,52700000.0,12600000.0,10.10.15.248,47173,1548779787.0,1548779785.0,0.391,2.0,1609.0,udp,10.10.12.1,5204
119,m1,34800000.0,8289999.999999999,10.10.15.248,47173,1548779789.0,1548779787.0,2.688,107.0,1168.0,udp,10.10.12.1,5204
120,m1,11800000.0,2810000.0,10.10.15.248,47173,1548779791.0,1548779789.0,8.836,862.0,1222.0,udp,10.10.12.1,5204
121,m1,1570000.0,384000.0,10.10.15.248,47173,1548779793.0,1548779791.0,39.318,10.0,58.0,udp,10.10.12.1,5204
122,m1,721000.0,176000.0,10.10.15.248,47173,1548779795.0,1548779793.0,69.322,32.0,54.0,udp,10.10.12.1,5204
123,m1,754000.0,184000.0,10.10.15.248,47173,1548779797.0,1548779795.0,76.536,14.0,37.0,udp,10.10.12.1,5204
124,m1,1740000.0,424000.0,10.10.15.248,47173,1548779799.0,1548779797.0,28.471,301.0,354.0,udp,10.10.12.1,5204
125,m1,0.0,0.0,10.10.15.248,47173,1548779801.0,1548779799.0,28.471,0.0,0.0,udp,10.10.12.1,5204
126,m1,65600.0,16000.0,10.10.15.248,47173,1548779803.0,1548779801.0,52.933,2189.0,2191.0,udp,10.10.12.1,5204
127,m1,0.0,0.0,10.10.15.248,47173,1548779805.0,1548779803.0,52.933,0.0,0.0,udp,10.10.12.1,5204
128,m1,0.0,0.0,10.10.15.248,47173,1548779807.0,1548779805.0,52.933,0.0,0.0,udp,10.10.12.1,5204
129,m1,65600.0,16000.0,10.10.15.248,47173,1548779809.0,1548779807.0,122.872,4353.0,4355.0,udp,10.10.12.1,5204
130,m1,65600.0,16000.0,10.10.15.248,47173,1548779811.0,1548779809.0,245.893,295.0,297.0,udp,10.10.12.1,5204
131,m1,65600.0,16000.0,10.10.15.248,47173,1548779811.0,1548779809.0,245.893,295.0,297.0,udp,10.10.12.1,5204
132,m1,23400000.0,5570000.0,10.10.15.248,53207,1548779816.0,1548779814.0,3.079,435.0,1148.0,udp,10.10.12.1,5204
133,m1,50000000.0,11900000.0,10.10.15.248,53207,1548779818.0,1548779816.0,1.965,180.0,1706.0,udp,10.10.12.1,5204
134,m1,47600000.0,11300000.0,10.10.15.248,53207,1548779820.0,1548779818.0,1.422,0.0,1452.0,udp,10.10.12.1,5204
135,m1,49300000.0,11800000.0,10.10.15.248,53207,1548779822.0,1548779820.0,0.548,1.0,1505.0,udp,10.10.12.1,5204
136,m1,47800000.0,11400000.0,10.10.15.248,53207,1548779824.0,1548779822.0,0.413,3.0,1461.0,udp,10.10.12.1,5204
137,m1,47800000.0,11400000.0,10.10.15.248,53207,1548779826.0,1548779824.0,0.362,0.0,1459.0,udp,10.10.12.1,5204
138,m1,45800000.0,10900000.0,10.10.15.248,53207,1548779828.0,1548779826.0,0.963,3.0,1402.0,udp,10.10.12.1,5204
139,m1,50000000.0,11900000.0,10.10.15.248,53207,1548779830.0,1548779828.0,0.358,0.0,1526.0,udp,10.10.12.1,5204
140,m1,34800000.0,8300000.000000001,10.10.15.248,53207,1548779832.0,1548779830.0,2.832,90.0,1153.0,udp,10.10.12.1,5204
141,m1,43700000.0,10400000.0,10.10.15.248,53207,1548779834.0,1548779832.0,1.235,326.0,1660.0,udp,10.10.12.1,5204
142,m1,47600000.0,11400000.0,10.10.15.248,53207,1548779836.0,1548779834.0,2.191,2.0,1455.0,udp,10.10.12.1,5204
143,m1,19000000.0,4530000.0,10.10.15.248,53207,1548779838.0,1548779836.0,4.646,300.0,880.0,udp,10.10.12.1,5204
144,m1,983000.0,240000.0,10.10.15.248,53207,1548779840.0,1548779838.0,40.943,54.0,84.0,udp,10.10.12.1,5204
145,m1,0.0,0.0,10.10.15.248,53207,1548779842.0,1548779840.0,40.943,0.0,0.0,udp,10.10.12.1,5204
146,m1,0.0,0.0,10.10.15.248,53207,1548779844.0,1548779842.0,40.943,0.0,0.0,udp,10.10.12.1,5204
147,m1,7280000.0,1730000.0,10.10.15.248,53207,1548779846.0,1548779844.0,8.652,5183.0,5405.0,udp,10.10.12.1,5204
148,m1,7280000.0,1730000.0,10.10.15.248,53207,1548779846.0,1548779844.0,8.652,5183.0,5405.0,udp,10.10.12.1,5204
149,m1,12000000.0,2860000.0,10.10.15.248,48641,1548779851.0,1548779849.0,16.825,214.0,580.0,udp,10.10.12.1,5204
150,m1,3830000.0,936000.0,10.10.15.248,48641,1548779853.0,1548779851.0,6.322,1437.0,1554.0,udp,10.10.12.1,5204
151,m1,2850000.0,696000.0,10.10.15.248,48641,1548779855.0,1548779853.0,16.852,1271.0,1358.0,udp,10.10.12.1,5204
152,m1,6490000.0,1550000.0,10.10.15.248,48641,1548779857.0,1548779855.0,3.01,1623.0,1821.0,udp,10.10.12.1,5204
153,m1,11000000.0,2620000.0,10.10.15.248,48641,1548779859.0,1548779857.0,1.961,1290.0,1625.0,udp,10.10.12.1,5204
154,m1,14300000.0,3410000.0,10.10.15.248,48641,1548779861.0,1548779859.0,1.885,1046.0,1483.0,udp,10.10.12.1,5204
155,m1,14300000.0,3410000.0,10.10.15.248,48641,1548779863.0,1548779861.0,2.085,1027.0,1463.0,udp,10.10.12.1,5204
156,m1,12800000.0,3050000.0,10.10.15.248,48641,1548779865.0,1548779863.0,0.95,1096.0,1486.0,udp,10.10.12.1,5204
157,m1,13700000.0,3270000.0,10.10.15.248,48641,1548779867.0,1548779865.0,1.435,1063.0,1482.0,udp,10.10.12.1,5204
158,m1,20900000.0,4990000.0,10.10.15.248,48641,1548779869.0,1548779867.0,0.7,846.0,1485.0,udp,10.10.12.1,5204
159,m1,21800000.0,5190000.0,10.10.15.248,48641,1548779871.0,1548779869.0,1.556,775.0,1439.0,udp,10.10.12.1,5204
160,m1,20500000.0,4880000.0,10.10.15.248,48641,1548779873.0,1548779871.0,1.826,836.0,1461.0,udp,10.10.12.1,5204
161,m1,14200000.0,3380000.0,10.10.15.248,48641,1548779875.0,1548779873.0,5.126,830.0,1262.0,udp,10.10.12.1,5204
162,m1,18000000.0,4280000.0,10.10.15.248,48641,1548779877.0,1548779875.0,1.367,1108.0,1656.0,udp,10.10.12.1,5204
163,m1,15000000.0,3590000.0,10.10.15.248,48641,1548779879.0,1548779877.0,1.279,979.0,1438.0,udp,10.10.12.1,5204
164,m1,6820000.0,1620000.0,10.10.15.248,48641,1548779881.0,1548779879.0,8.656,945.0,1153.0,udp,10.10.12.1,5204
165,m1,1310000.0,320000.0,10.10.15.248,48641,1548779883.0,1548779881.0,25.43,932.0,972.0,udp,10.10.12.1,5204
166,m1,983000.0,240000.0,10.10.15.248,48641,1548779885.0,1548779883.0,45.273,516.0,546.0,udp,10.10.12.1,5204
167,m1,98200.0,24000.0,10.10.15.248,48641,1548779887.0,1548779885.0,70.543,123.0,126.0,udp,10.10.12.1,5204
168,m1,0.0,0.0,10.10.15.248,48641,1548779889.0,1548779887.0,70.543,0.0,0.0,udp,10.10.12.1,5204
